,x,y,z,labels,id
0,2792.7642082941825,455.6850686334211,-200.3842577649794,1,Spanish Shrimp  Carriers
1,2791.958479283409,455.1267814830151,-200.27175021374165,1,12744
2,2788.2743174170187,452.821874688429,-200.31872829610367,1,143129355
3,2786.1231347324738,453.08301203876994,-196.70242383298583,1,7775
4,2785.141734508245,453.50335698667334,-196.10756754835728,1,1017141
5,2782.958603590252,453.92628414495107,-194.00698742373748,1,2591586
6,2772.8319769445484,456.7639635079783,-187.14239395783784,1,185040354
7,2736.870966024448,462.1867900308623,-163.38653094036817,1,Faroe Islands Shrimp Shark
8,2695.726293734795,470.19265107949695,-143.4033278823016,0,341411
9,2695.287304494779,470.3082749069449,-142.89574356171292,0,21323516
10,2695.1575317655347,470.3841802649417,-142.82770841312114,0,âvictimâ
11,2695.027759036291,470.46008562293844,-142.7596732645286,0,âperpetratorâ
12,2694.9766727799847,470.4811306269823,-142.77563050921754,0,8561
13,2693.3385751784017,471.4512682769608,-144.28758094809436,0,William Bradley
14,2692.614063574393,471.1056997508785,-145.10218776602454,0,Joseph Griffin
15,2692.293865760533,471.234330890447,-144.99093020425997,0,âŠâ
16,2692.0111421752054,471.3460313084429,-144.87725436082312,0,853949688
17,2691.320964297751,471.59588481853996,-144.506163048044,0,650512
18,2691.026226356992,471.46639345610635,-144.37421126077166,0,8
19,2689.316943978918,471.9895792695826,-142.82364260228877,0,128692
20,2688.9910225778845,472.1341358520677,-142.59562434377867,0,172711
21,2683.7460054335297,472.66353916847356,-147.10688731760854,0,Jacob Caldwell
22,2683.273273229772,472.8788986682765,-146.84023371293608,0,14253815
23,2682.917537925662,473.03667867188545,-146.59135731428302,0,4369922c-ce1d-40ff-904c-1f6a3000bf6b
24,2682.1468934873687,472.2644093617849,-145.88916677290433,0,Saltwater Solitude GmbH & Co. KG
25,2681.454877068604,472.25487291852033,-145.32245793177026,0,PRK
26,2680.739185651116,472.53225609573377,-144.71326228134046,0,âVikingâ
27,2680.455354550725,472.6443940785523,-144.59914113473278,0,506
28,2680.059329261104,472.8238700358278,-144.47123478465483,0,4937447
29,2679.870983185661,472.8494620976873,-144.24028973595975,0,âregularâ
30,2679.6426239296757,472.97547794056015,-144.12567116877088,0,2079436
31,2678.7513230399645,473.7580423258857,-145.40846077379103,0,Ann Daniels
32,2677.86839235976,474.5332576465641,-146.67920369752497,0,Stephanie Mccormick MD
33,2677.014925834841,475.2826033660386,-147.90754083825541,0,Lisa Clay
34,2676.119239422053,475.42986058850835,-147.03198047059686,0,589
35,2673.4462782752435,476.941726799875,-148.95265907384714,0,Elizabeth Welch
36,2672.848302876582,477.13620068525745,-148.77344278062327,0,da0a7bbb-5bd1-42aa-bcc0-b8923d5c15d4
37,2672.732600336579,477.1212808663715,-148.4178614559017,0,Eugene Ochoa
38,2669.231216822049,477.3360388815931,-146.3912753496926,0,967900443
39,2668.580317669046,477.6247335079731,-145.93589902011632,0,Lisa Jimenez
40,2665.8065706850584,478.4325496201859,-144.4785614326204,0,1
41,2665.492672909425,478.57177333962073,-144.2589550369588,0,445a6124-4650-4e5a-83bb-a0e0b4040ee9
42,2664.626492788557,479.3322816277785,-145.50559000383697,0,Martha Robbins
43,2663.76278866036,480.0906159882481,-146.74866144048988,0,Don Hopkins
44,2662.891147537539,480.85591904962536,-148.00315606129558,0,Joseph Gray
45,2655.9808112284077,482.7352561231172,-143.00778669342512,0,4
46,2654.2930244218437,483.4596533282735,-142.18154817332527,0,4975
47,2653.4374301835246,483.7976875037532,-141.83753585271333,0,7282284
48,2650.661041347903,483.86079307762014,-140.73021768737544,0,0
49,2650.272046190248,483.81063223154405,-139.5347433834753,0,Sean Vasquez
50,2646.567813583248,484.73373545938205,-135.70230479592934,0,196159
51,2644.917971244119,485.1480918341659,-134.1391195605964,0,755
52,2644.5298544780608,485.241684731446,-133.67852061185215,0,860067396
53,2641.640902460013,485.95805774306183,-132.2877918589763,0,664738735
54,2634.9765970905364,488.88857320573555,-129.2665307083504,0,290834957
55,2633.416108539265,488.6157905096888,-128.778685286482,0,Timothy Reeves
56,2631.9691912337553,489.134787805966,-127.73842995394767,0,457009514
57,2630.5102617308235,490.13235473199165,-128.60585598588048,0,6043477
58,2628.253611654584,490.95689520070493,-126.91286176289675,0,526269
59,2627.024757852573,491.69394381358785,-126.97963861255465,0,Jason Cameron
60,2622.0775282433615,493.0137995035907,-123.82478615011289,0,77b46bc7-7e31-41a0-973c-e633011d21b0
61,2620.981363448996,493.34065211842596,-122.85544406749287,0,7
62,2619.487206896773,493.3759404858691,-121.1558415712752,0,35
63,2614.926625324788,494.6397834772024,-118.51248717767189,0,6406040
64,2614.456000738727,494.77802809662523,-118.17163141743686,0,Jamie Knox
65,2614.1360026492325,494.919957500685,-117.9477571739492,0,Kristin Graham
66,2612.6197064740245,495.5384893027442,-117.15514600019235,0,99575926
67,2611.8956338382004,495.85963871292034,-116.6485766833838,0,72371354
68,2611.242686470769,495.9208605225911,-115.59804955020543,0,55
69,2609.02026626954,496.51385744928,-113.26524600987285,0,766649
70,2608.897742929149,496.5021322684854,-112.90093973492573,0,955425
71,2606.6411901691376,495.5316499103632,-112.42082126994644,0,132
72,2606.434133683927,495.5348784999543,-111.98585670093368,0,8701038
73,2601.34477812932,496.9185170302324,-108.09823076622956,0,9067
74,2595.6184519631774,497.8670356584212,-103.3342944783624,0,750975
75,2593.911446644627,498.01428012287676,-101.23522898299403,0,3404599
76,2591.1236245438376,498.67732193017565,-98.71480502624097,0,85117949
77,2578.1849769639,497.0069801756548,-92.56642000830118,0,3506021
78,2577.8692834850453,497.1437183368459,-92.47446173653759,0,348079
79,2577.838774721288,497.16778371962124,-92.4971688648559,0,78
80,2573.872058056911,497.08309867860777,-85.37278812372814,0,95
81,2573.035194338379,495.56989449595994,-85.81520602939011,0,â8â
82,2572.207769102868,494.07093832575964,-86.25385603011819,0,ârefer
83,2571.3862625608936,492.58230523593477,-86.68954134970096,0,â10â
84,2570.3539472344387,490.27180328569847,-87.42771717403664,0,Alyssa Huffman
85,2569.2603150289424,490.7039269081017,-87.12523313857197,0,245
86,2567.2950518853736,490.39396449961214,-86.60469594611949,0,300668979
87,2566.8436292318597,490.4796630823183,-86.05941897476283,0,âNoticesââ
88,2566.573010068682,490.48812148381575,-85.93687573042149,0,651
89,2564.4650367641357,490.9101351832373,-86.90741719183355,0,7845
90,2564.125220170482,491.10889728329283,-86.72926364155971,0,265700083
91,2553.389419881035,490.9819125724476,-81.87313659810401,0,47679
92,2550.2978200444404,492.6023533018163,-81.690912754962,0,d0123474-8425-4ab0-90d5-175920158638
93,2548.6997730017524,493.23914531680856,-81.89138726365601,0,425887173
94,2547.6410507493433,493.51185159388604,-80.38204024780993,0,86597
95,2546.922081735035,493.82522697512417,-79.8869791638882,0,405ab2a5-68f0-4304-ab94-24c7995a248e
96,2545.615734647567,494.26268582538825,-79.00901527677269,0,44842
97,2544.8390040255586,494.6003768727228,-78.51959935709955,0,e2b334d9-4d51-40b2-a7b1-441b88400b75
98,2544.1679388322746,494.89801578400056,-78.0501146401297,0,68
99,2543.449302495741,495.38203576404777,-78.52411542641228,0,610
100,2543.429877476503,495.3860377563774,-78.5059820234741,0,4063
101,2543.418892707672,495.38786735429403,-78.49353590084077,0,740523
102,2542.2880147640267,494.8266876550542,-77.42680698919605,0,Marine
103,2541.808806689022,495.0379892499227,-77.2249657336355,0,255â273
