,x,y,z,labels,id
0,18.568235,-4.6093187,-13.024869,1,Spanish Shrimp  Carriers
1,18.56844,-4.6086907,-13.025289,1,12744
2,18.56963,-4.606355,-13.027866,1,143129355
3,18.573101,-4.600089,-13.035201,1,7775
4,18.573975,-4.5984206,-13.037046,1,1017141
5,18.57652,-4.59421,-13.042454,1,2591586
6,18.597708,-4.5596504,-13.087183,1,185040354
7,18.886774,-4.060415,-13.700117,1,Faroe Islands Shrimp Shark
8,19.129192,-3.1590135,-14.324806,0,341411
9,19.130672,-3.1292026,-14.334725,0,21323516
10,19.124846,-3.114452,-14.334552,0,âvictimâ
11,19.120338,-3.1028695,-14.3342,0,âperpetratorâ
12,19.119402,-3.0997946,-14.335793,0,8561
13,19.134476,-3.0007606,-14.248977,0,William Bradley
14,19.156279,-2.95778,-14.194008,0,Joseph Griffin
15,19.173113,-2.929381,-14.21242,0,âŠâ
16,19.170462,-2.9070785,-14.213819,0,853949688
17,19.178877,-2.860484,-14.216909,0,650512
18,19.180416,-2.8470225,-14.215967,0,8
19,18.937847,-2.6796026,-14.234635,0,128692
20,18.945616,-2.6576676,-14.220299,0,172711
21,18.851284,-2.306637,-13.837237,0,Jacob Caldwell
22,18.854023,-2.265855,-13.813027,0,14253815
23,18.843075,-2.244089,-13.799364,0,4369922c-ce1d-40ff-904c-1f6a3000bf6b
24,18.824593,-2.193224,-13.767625,0,Saltwater Solitude GmbH & Co. KG
25,18.799646,-2.127088,-13.730404,0,PRK
26,18.771584,-2.0640447,-13.688213,0,âVikingâ
27,18.766827,-2.0480924,-13.679598,0,506
28,18.757023,-2.0233464,-13.664231,0,4937447
29,18.749842,-2.004862,-13.651483,0,âregularâ
30,18.7448,-1.9818825,-13.638581,0,2079436
31,18.730728,-1.8895094,-13.565969,0,Ann Daniels
32,18.69329,-1.8035434,-13.493085,0,Stephanie Mccormick MD
33,18.664728,-1.7148733,-13.427462,0,Lisa Clay
34,18.625046,-1.6156489,-13.355363,0,589
35,18.557695,-1.4108591,-13.20891,0,Elizabeth Welch
36,18.544281,-1.3693994,-13.187037,0,da0a7bbb-5bd1-42aa-bcc0-b8923d5c15d4
37,18.53939,-1.3553882,-13.180934,0,Eugene Ochoa
38,18.463339,-1.1076081,-13.038373,0,967900443
39,18.453129,-1.0689378,-13.015285,0,Lisa Jimenez
40,18.394674,-0.8801359,-12.908906,0,1
41,18.389662,-0.86287504,-12.8984165,0,445a6124-4650-4e5a-83bb-a0e0b4040ee9
42,18.375711,-0.8174525,-12.870281,0,Martha Robbins
43,18.36304,-0.7787288,-12.844473,0,Don Hopkins
